X  1.45246712, cosTheta -0.14945870, sinTheta  0.98876797,
X  1.45219614, cosTheta -0.15212099, sinTheta  0.98836188,
X  1.45192533, cosTheta -0.15475343, sinTheta  0.98795312,
X  1.45165480, cosTheta -0.15735598, sinTheta  0.98754195,
X  1.45138468, cosTheta -0.15992858, sinTheta  0.98712859,
X  1.45111508, cosTheta -0.16247122, sinTheta  0.98671328,
X  1.45084611, cosTheta -0.16498386, sinTheta  0.98629627,
X  1.45057789, cosTheta -0.16746648, sinTheta  0.98587777,
X  1.45031053, cosTheta -0.16991906, sinTheta  0.98545802,
X  1.45004414, cosTheta -0.17234158, sinTheta  0.98503725,
X  1.44977881, cosTheta -0.17473403, sinTheta  0.98461567,
X  1.44951467, cosTheta -0.17709640, sinTheta  0.98419351,
X  1.44925180, cosTheta -0.17942869, sinTheta  0.98377098,
X  1.44899031, cosTheta -0.18173088, sinTheta  0.98334830,
X  1.44873030, cosTheta -0.18400299, sinTheta  0.98292568,
X  1.44847186, cosTheta -0.18624501, sinTheta  0.98250333,
X  1.44821508, cosTheta -0.18845696, sinTheta  0.98208145,
X  1.44796007, cosTheta -0.19063883, sinTheta  0.98166024,
X  1.44770690, cosTheta -0.19279066, sinTheta  0.98123991,
X  1.44745567, cosTheta -0.19491243, sinTheta  0.98082065,
X  1.44720646, cosTheta -0.19700419, sinTheta  0.98040265,
X  1.44695936, cosTheta -0.19906594, sinTheta  0.97998610,
X  1.44671444, cosTheta -0.20109771, sinTheta  0.97957119,
X  1.44647178, cosTheta -0.20309951, sinTheta  0.97915810,
X  1.44623147, cosTheta -0.20507138, sinTheta  0.97874702,
X  1.44599358, cosTheta -0.20701334, sinTheta  0.97833812,
X  1.44575818, cosTheta -0.20892543, sinTheta  0.97793158,
X  1.44552533, cosTheta -0.21080766, sinTheta  0.97752756,
X  1.44529512, cosTheta -0.21266007, sinTheta  0.97712624,
X  1.44506761, cosTheta -0.21448270, sinTheta  0.97672779,
X  1.44484287, cosTheta -0.21627558, sinTheta  0.97633236,
X  1.44462094, cosTheta -0.21803875, sinTheta  0.97594011,
X  1.44440191, cosTheta -0.21977224, sinTheta  0.97555121,
X  1.44418582, cosTheta -0.22147608, sinTheta  0.97516580,
X  1.44397274, cosTheta -0.22315032, sinTheta  0.97478404,
X  1.44376271, cosTheta -0.22479500, sinTheta  0.97440608,
X  1.44355580, cosTheta -0.22641015, sinTheta  0.97403205,
X  1.44335206, cosTheta -0.22799582, sinTheta  0.97366211,
X  1.44315152, cosTheta -0.22955204, sinTheta  0.97329639,
X  1.44295425, cosTheta -0.23107885, sinTheta  0.97293503,
X  1.44276028, cosTheta -0.23257631, sinTheta  0.97257815,
X  1.44256967, cosTheta -0.23404444, sinTheta  0.97222590,
X  1.44238244, cosTheta -0.23548329, sinTheta  0.97187840,
X  1.44219865, cosTheta -0.23689291, sinTheta  0.97153577,
X  1.44201833, cosTheta -0.23827332, sinTheta  0.97119814,
X  1.44184152, cosTheta -0.23962458, sinTheta  0.97086562,
X  1.44166825, cosTheta -0.24094673, sinTheta  0.97053834,
X  1.44149856, cosTheta -0.24223980, sinTheta  0.97021641,
X  1.44133247, cosTheta -0.24350383, sinTheta  0.96989993,
X  1.44117002, cosTheta -0.24473888, sinTheta  0.96958903,
X  1.44101123, cosTheta -0.24594497, sinTheta  0.96928379,
X  1.44085613, cosTheta -0.24712214, sinTheta  0.96898434,
X  1.44070474, cosTheta -0.24827044, sinTheta  0.96869076,
X  1.44055709, cosTheta -0.24938990, sinTheta  0.96840316,
X  1.44041320, cosTheta -0.25048056, sinTheta  0.96812163,
X  1.44027308, cosTheta -0.25154246, sinTheta  0.96784626,
X  1.44013676, cosTheta -0.25257563, sinTheta  0.96757715,
X  1.44000425, cosTheta -0.25358011, sinTheta  0.96731439,
X  1.43987556, cosTheta -0.25455593, sinTheta  0.96705805,
X  1.43975070, cosTheta -0.25550313, sinTheta  0.96680823,
X  1.43962969, cosTheta -0.25642173, sinTheta  0.96656500,
X  1.43951254, cosTheta -0.25731177, sinTheta  0.96632844,
X  1.43939925, cosTheta -0.25817329, sinTheta  0.96609863,
X  1.43928984, cosTheta -0.25900630, sinTheta  0.96587563,
X  1.43918429, cosTheta -0.25981084, sinTheta  0.96565953,
X  1.43908262, cosTheta -0.26058694, sinTheta  0.96545039,
X  1.43898483, cosTheta -0.26133462, sinTheta  0.96524827,
X  1.43889092, cosTheta -0.26205390, sinTheta  0.96505324,
X  1.43880088, cosTheta -0.26274482, sinTheta  0.96486536,
X  1.43871472, cosTheta -0.26340738, sinTheta  0.96468469,
X  1.43863242, cosTheta -0.26404162, sinTheta  0.96451129,
X  1.43855398, cosTheta -0.26464756, sinTheta  0.96434520,
X  1.43847940, cosTheta -0.26522521, sinTheta  0.96418649,
X  1.43840865, cosTheta -0.26577458, sinTheta  0.96403520,
X  1.43834174, cosTheta -0.26629571, sinTheta  0.96389138,
X  1.43827865, cosTheta -0.26678859, sinTheta  0.96375508,
X  1.43821936, cosTheta -0.26725325, sinTheta  0.96362633,
X  1.43816386, cosTheta -0.26768969, sinTheta  0.96350518,
X  1.43811213, cosTheta -0.26809793, sinTheta  0.96339166,
X  1.43806415, cosTheta -0.26847798, sinTheta  0.96328582,
X  1.43801990, cosTheta -0.26882984, sinTheta  0.96318768,
X  1.43797936, cosTheta -0.26915353, sinTheta  0.96309728,
X  1.43794251, cosTheta -0.26944903, sinTheta  0.96301465,
X  1.43790932, cosTheta -0.26971637, sinTheta  0.96293981,
X  1.43787977, cosTheta -0.26995554, sinTheta  0.96287279,
X  1.43785382, cosTheta -0.27016654, sinTheta  0.96281361,
X  1.43783144, cosTheta -0.27034937, sinTheta  0.96276228,
X  1.43781261, cosTheta -0.27050404, sinTheta  0.96271884,
X  1.43779729, cosTheta -0.27063053, sinTheta  0.96268329,
X  1.43778546, cosTheta -0.27072884, sinTheta  0.96265565,
X  1.43777706, cosTheta -0.27079897, sinTheta  0.96263592,
X  1.43777207, cosTheta -0.27084091, sinTheta  0.96262412,
X  1.43777044, cosTheta -0.27085464, sinTheta  0.96262026,
X  1.43777214, cosTheta -0.27084017, sinTheta  0.96262433,
X  1.43777712, cosTheta -0.27079748, sinTheta  0.96263634,
X  1.43778534, cosTheta -0.27072655, sinTheta  0.96265629,
X  1.43779676, cosTheta -0.27062738, sinTheta  0.96268418,
X  1.43781132, cosTheta -0.27049994, sinTheta  0.96271999,
X  1.43782898, cosTheta -0.27034423, sinTheta  0.96276373,
X  1.43784969, cosTheta -0.27016021, sinTheta  0.96281538,
X  1.43787340, cosTheta -0.26994789, sinTheta  0.96287493,
X  1.43790005, cosTheta -0.26970723, sinTheta  0.96294237,
X  1.43792958, cosTheta -0.26943821, sinTheta  0.96301768,
X  1.43796195, cosTheta -0.26914081, sinTheta  0.96310084,
X  1.43799710, cosTheta -0.26881501, sinTheta  0.96319182,
X  1.43803496, cosTheta -0.26846079, sinTheta  0.96329061,
X  1.43807547, cosTheta -0.26807812, sinTheta  0.96339718,
X  1.43811857, cosTheta -0.26766697, sinTheta  0.96351149,
X  1.43816419, cosTheta -0.26722732, sinTheta  0.96363352,
X  1.43821228, cosTheta -0.26675914, sinTheta  0.96376323,
X  1.43826275, cosTheta -0.26626239, sinTheta  0.96390058,
X  1.43831554, cosTheta -0.26573706, sinTheta  0.96404554,
